_id,WeekNumber,WeekPace,AcademicSupport,ConceptMastering,instructorEngagement,instructorClarity,instructorknowledgeable,submittedDate,universityId,class._id
23ebFDRnqAFdeHive,11,4,5,5,5,NA,NA,2016-08-01T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
3fWWMGHNyx2hXEKm3,3,2,4,4,4,NA,NA,2016-08-13T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
4N645xMwxwNM6BDu6,4,5,5,4,5,NA,NA,2016-08-20T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
6stscLEDGZSXDPpbo,3,3,5,5,4.5,NA,NA,2016-08-13T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
8Y4meE9DtNdztsT4Z,23,3,5,4,4.5,NA,NA,2016-07-31T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
BC7cKuTfXeiEKW8Br,12,4,5,4,5,NA,NA,2016-08-04T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
BjAoHCCwKdDqSG6L9,3,4,4,3,4,NA,NA,2016-07-12T06:00:00.000Z,rhvWsCs6E9RPWbm8b,ZmH3Bp7jDH5PDuKqL
CndYaz8CfyY5QQCXr,4,4,5,3,4,NA,NA,2016-08-05T05:00:00.000Z,re2oaamkCc36r9Wqt,dnTh2WcoDZTND3MS8
E2apGRHNK23GGPK6B,Cl,4,5,2,4.5,NA,NA,2016-07-16T04:00:00.000Z,jT8CCfJRYuiukiEMB,yZKY9TjWzZinQfSZv
EhWZLewacut5befZ7,1,5,5,4,5,NA,NA,2016-08-02T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
FgSrTLnuqnW2kcEZ8,23,5,5,4,5,NA,NA,2016-08-02T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
FhRuGDTpurhoYpv9M,1,5,5,5,5,NA,NA,2016-08-12T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
GkabHHjx8D6kzBXNa,1,1,5,5,5,NA,NA,2016-07-18T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
GqX45kLPxarqjAfJK,1,5,5,4,5,NA,NA,2016-07-12T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
Gw5mSfN4txvhmjjP2,13,3,4,3,5,NA,NA,2016-08-07T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
HFczxPTMaMddXcwKs,1,3,4,3,4,NA,NA,2016-08-20T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
HmEPFHEjqxmyjXdhg,1,4,4,4,4.5,NA,NA,2016-07-29T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
JK4xtN8PgPG3pSZGT,0,5,5,5,5,NA,NA,2016-08-07T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
JXtbzyiezcXMF472W,2,4,5,4,4.5,NA,NA,2016-08-08T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
Jv34iCyWhY8fyNYNq,6,4,5,2,4,NA,NA,2016-07-19T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
KvkW3bpasZvZpdCJ3,5,4,5,2,4,NA,NA,2016-08-06T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
LpX3e53jAnfAJbzqo,14,4,4,4,4.5,NA,NA,2016-08-15T04:00:00.000Z,jT8CCfJRYuiukiEMB,furi8xq9ZJuyN9SEt
MnmuFSHf6Q58eZpF9,1,3,4,3,4,NA,NA,2016-08-02T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
QFr9xKeAygzcmTQrT,2,3,3,2,3,NA,NA,2016-08-20T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
QfX73W3DSbkTDEZq6,0,5,5,4,4.5,NA,NA,2016-08-11T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
Ry4FrJ8bejWZ8uru7,1,3,5,4,4,NA,NA,2016-08-17T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
Sgiq8qgGYSdCwwMbD,1,3,5,5,4,NA,NA,2016-07-17T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
TDsBxbMmq3tuFQzwm,1,4,3,3,5,NA,NA,2016-07-17T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
TfCcAhYayNZvyW5wq,1,3,5,5,5,NA,NA,2016-07-26T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
Wy6rvrsqQP9Tvj6cq,14,4,5,3,5,NA,NA,2016-07-31T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
XwwtJeYtvwc6hxn4g,1,4,4,3,4.5,NA,NA,2016-08-14T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
Yasnarud78XLvfHT8,2,3,4,4,3,NA,NA,2016-07-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
bded3AeK887QuXqdz,15,4,5,3,5,NA,NA,2016-08-20T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
bmPX35c74fmnia29W,3,3,5,4,4.5,NA,NA,2016-08-15T04:00:00.000Z,jT8CCfJRYuiukiEMB,furi8xq9ZJuyN9SEt
d6aiF4BA5SiwypzoD,1,3,4,4,4,NA,NA,2016-08-16T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
dGA8djvPuGL3kjmdr,15,4,5,2,5,NA,NA,2016-08-12T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
eRf5t8T4qGTd3BtfN,2,4,5,4,4,NA,NA,2016-07-14T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
gwyHhcyvdwwLqiGcY,1,3,5,4,4.5,NA,NA,2016-07-27T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
hQkpKnG7t28PkTEEL,1,4,4,2,3,NA,NA,2016-08-16T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
htDjeCuQSC7pHazYY,4,4,4,3,4,NA,NA,2016-08-13T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
n2sry4SkQqrgSHWZ5,7,3,5,4,5,NA,NA,2016-08-14T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
o53ce7uJD6soShL8a,15,2,4,2,5,NA,NA,2016-08-06T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
oBbRy4Kfn5frC7ibu,4,3,4,3,4,NA,NA,2016-08-07T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
orSvysDRAasyMfxMC,1,4,5,5,5,NA,NA,2016-08-18T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
qnBWsWsqjaWdioScP,2,3,5,3,3.5,NA,NA,2016-08-18T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
r7Fn6WdoyuPdbXSNj,1,4,5,4,4.5,NA,NA,2016-07-28T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
