SubmissionID,FeedbackTypeID,UserID,SectionID,ClassWeek,HowWasClassThisWeek,InstructorEngagement,SubmittedDate,NewLearningAchieved,HoursSpentOutsideOfClass,PaceOfClassThisWeek,AcademicSupport,MasteredConceptsCovered,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,InstructionsClarity,InstructorKnowledge
1,2,92,4,4,5,5,"Mar 22 2017 10:50:49:563PM",5,1,5,5,5,"Mar 22 2017 10:50:49:563PM",trilogy_admin,"Mar 22 2017 10:50:49:563PM",trilogy_admin,5,5
2,2,117,2,2,4,4,"Mar 26 2017 01:44:28:020PM",3,10,4,3,4,"Mar 26 2017 01:44:28:020PM",trilogy_admin,"Mar 26 2017 01:44:28:020PM",trilogy_admin,4,4
3,2,63,3,2,4,4,"Mar 26 2017 04:23:14:027PM",4,7,4,4,4,"Mar 26 2017 04:23:14:027PM",trilogy_admin,"Mar 26 2017 04:23:14:027PM",trilogy_admin,4,4
4,2,127,2,2,4,4,"Mar 26 2017 06:48:23:470PM",4,15,3,4,3,"Mar 26 2017 06:48:23:470PM",trilogy_admin,"Mar 26 2017 06:48:23:470PM",trilogy_admin,5,5
5,2,54,2,2,3,2,"Mar 26 2017 07:09:35:910PM",5,6,4,2,2,"Mar 26 2017 07:09:35:910PM",trilogy_admin,"Mar 26 2017 07:09:35:910PM",trilogy_admin,2,5
6,2,69,3,2,4,4,"Mar 26 2017 07:17:02:290PM",4,20,4,4,4,"Mar 26 2017 07:17:02:290PM",trilogy_admin,"Mar 26 2017 07:17:02:290PM",trilogy_admin,4,4
7,2,85,3,2,4,4,"Mar 26 2017 10:57:31:420PM",3,4,3,5,2,"Mar 26 2017 10:57:31:420PM",trilogy_admin,"Mar 26 2017 10:57:31:420PM",trilogy_admin,3,4
8,2,124,2,2,5,5,"Mar 27 2017 01:14:00:057AM",5,25,4,5,3,"Mar 27 2017 01:14:00:057AM",trilogy_admin,"Mar 27 2017 01:14:00:057AM",trilogy_admin,3,5
9,2,79,3,2,5,5,"Mar 27 2017 01:35:22:370PM",5,15,5,5,4,"Mar 27 2017 01:35:22:370PM",trilogy_admin,"Mar 27 2017 01:35:22:370PM",trilogy_admin,5,5
10,2,120,2,2,4,4,"Mar 27 2017 02:31:44:090PM",5,8,2,3,3,"Mar 27 2017 02:31:44:090PM",trilogy_admin,"Mar 27 2017 02:31:44:090PM",trilogy_admin,3,4
11,2,92,4,2,5,5,"Mar 27 2017 02:34:51:153PM",5,1,5,5,5,"Mar 27 2017 02:34:51:153PM",trilogy_admin,"Mar 27 2017 02:34:51:153PM",trilogy_admin,5,5
12,2,119,2,2,5,5,"Mar 27 2017 03:30:18:160PM",3,8,4,5,3,"Mar 27 2017 03:30:18:160PM",trilogy_admin,"Mar 27 2017 03:30:18:160PM",trilogy_admin,5,5
13,2,60,2,2,5,5,"Mar 27 2017 09:55:27:850PM",5,20,3,4,1,"Mar 27 2017 09:55:27:850PM",trilogy_admin,"Mar 27 2017 09:55:27:850PM",trilogy_admin,1,5
14,2,52,2,2,5,5,"Mar 27 2017 09:59:35:337PM",5,15,3,3,4,"Mar 27 2017 09:59:35:337PM",trilogy_admin,"Mar 27 2017 09:59:35:337PM",trilogy_admin,4,5
15,2,56,2,2,4,3,"Mar 27 2017 10:05:45:290PM",4,8,2,2,3,"Mar 27 2017 10:05:45:290PM",trilogy_admin,"Mar 27 2017 10:05:45:290PM",trilogy_admin,3,4
16,2,57,2,2,3,4,"Mar 27 2017 10:21:36:233PM",2,12,3,5,5,"Mar 27 2017 10:21:36:233PM",trilogy_admin,"Mar 27 2017 10:21:36:233PM",trilogy_admin,4,4
17,2,137,2,2,4,4,"Mar 27 2017 10:21:41:600PM",4,6,4,4,4,"Mar 27 2017 10:21:41:600PM",trilogy_admin,"Mar 27 2017 10:21:41:600PM",trilogy_admin,4,4
18,2,55,2,2,5,5,"Mar 27 2017 10:28:05:767PM",5,10,5,5,5,"Mar 27 2017 10:28:05:767PM",trilogy_admin,"Mar 27 2017 10:28:05:767PM",trilogy_admin,5,5
19,2,129,2,2,4,4,"Mar 27 2017 10:30:32:993PM",4,20,4,3,3,"Mar 27 2017 10:30:32:993PM",trilogy_admin,"Mar 27 2017 10:30:32:993PM",trilogy_admin,4,4
20,2,53,2,2,5,5,"Mar 27 2017 10:31:33:197PM",5,10,5,5,5,"Mar 27 2017 10:31:33:197PM",trilogy_admin,"Mar 27 2017 10:31:33:197PM",trilogy_admin,5,5
21,2,138,2,2,3,2,"Mar 27 2017 10:31:38:573PM",3,20,5,1,1,"Mar 27 2017 10:31:38:573PM",trilogy_admin,"Mar 27 2017 10:31:38:573PM",trilogy_admin,2,4
22,2,58,2,2,4,4,"Mar 27 2017 10:32:49:713PM",4,20,4,4,4,"Mar 27 2017 10:32:49:713PM",trilogy_admin,"Mar 27 2017 10:32:49:713PM",trilogy_admin,4,4
23,2,130,2,2,5,5,"Mar 27 2017 10:39:58:450PM",5,30,5,5,5,"Mar 27 2017 10:39:58:450PM",trilogy_admin,"Mar 27 2017 10:39:58:450PM",trilogy_admin,5,5
24,2,126,2,2,5,5,"Mar 27 2017 10:46:12:310PM",5,12,5,5,4,"Mar 27 2017 10:46:12:310PM",trilogy_admin,"Mar 27 2017 10:46:12:310PM",trilogy_admin,5,5
25,2,121,2,2,5,5,"Mar 27 2017 11:47:13:893PM",5,10,5,5,5,"Mar 27 2017 11:47:13:893PM",trilogy_admin,"Mar 27 2017 11:47:13:893PM",trilogy_admin,5,5
26,2,78,3,2,4,4,"Mar 28 2017 12:50:14:573PM",3,3,3,5,3,"Mar 28 2017 12:50:14:573PM",trilogy_admin,"Mar 28 2017 12:50:14:573PM",trilogy_admin,5,5
27,2,87,3,2,5,5,"Mar 28 2017 02:01:17:780PM",5,15,4,5,4,"Mar 28 2017 02:01:17:780PM",trilogy_admin,"Mar 28 2017 02:01:17:780PM",trilogy_admin,4,5
28,2,144,3,2,3,3,"Mar 28 2017 09:46:38:850PM",3,15,2,1,1,"Mar 28 2017 09:46:38:850PM",trilogy_admin,"Mar 28 2017 09:46:38:850PM",trilogy_admin,3,5
29,2,73,3,2,5,4,"Mar 28 2017 09:50:59:143PM",3,5,4,4,2,"Mar 28 2017 09:50:59:143PM",trilogy_admin,"Mar 28 2017 09:50:59:143PM",trilogy_admin,3,4
30,2,84,3,2,4,1,"Mar 28 2017 10:08:33:027PM",4,1,3,5,2,"Mar 28 2017 10:08:33:027PM",trilogy_admin,"Mar 28 2017 10:08:33:027PM",trilogy_admin,5,4
31,2,74,3,2,5,5,"Mar 28 2017 10:14:06:280PM",3,20,5,5,5,"Mar 28 2017 10:14:06:280PM",trilogy_admin,"Mar 28 2017 10:14:06:280PM",trilogy_admin,4,5
32,2,81,3,2,3,4,"Mar 28 2017 10:20:37:390PM",3,1,2,4,2,"Mar 28 2017 10:20:37:390PM",trilogy_admin,"Mar 28 2017 10:20:37:390PM",trilogy_admin,4,5
33,2,125,3,2,5,5,"Mar 28 2017 10:20:51:333PM",4,4,3,4,1,"Mar 28 2017 10:20:51:333PM",trilogy_admin,"Mar 28 2017 10:20:51:333PM",trilogy_admin,3,5
34,2,64,3,2,5,5,"Mar 28 2017 10:20:58:980PM",5,8,5,5,5,"Mar 28 2017 10:20:58:980PM",trilogy_admin,"Mar 28 2017 10:20:58:980PM",trilogy_admin,5,5
35,2,88,3,2,3,1,"Mar 28 2017 10:21:20:003PM",5,15,1,4,4,"Mar 28 2017 10:21:20:003PM",trilogy_admin,"Mar 28 2017 10:21:20:003PM",trilogy_admin,5,4
36,2,70,3,2,5,5,"Mar 28 2017 10:21:47:100PM",5,10,5,5,5,"Mar 28 2017 10:21:47:100PM",trilogy_admin,"Mar 28 2017 10:21:47:100PM",trilogy_admin,5,5
37,2,77,3,2,5,5,"Mar 28 2017 10:23:45:210PM",5,20,5,5,5,"Mar 28 2017 10:23:45:210PM",trilogy_admin,"Mar 28 2017 10:23:45:210PM",trilogy_admin,5,5
38,2,65,3,2,4,4,"Mar 28 2017 10:26:27:593PM",3,16,4,3,3,"Mar 28 2017 10:26:27:593PM",trilogy_admin,"Mar 28 2017 10:26:27:593PM",trilogy_admin,4,5
39,2,66,3,2,3,3,"Mar 28 2017 10:27:45:627PM",3,30,1,5,2,"Mar 28 2017 10:27:45:627PM",trilogy_admin,"Mar 28 2017 10:27:45:627PM",trilogy_admin,2,3
40,2,72,3,2,5,5,"Mar 28 2017 10:30:23:627PM",5,15,5,5,4,"Mar 28 2017 10:30:23:627PM",trilogy_admin,"Mar 28 2017 10:30:23:627PM",trilogy_admin,4,5
41,2,82,3,2,5,5,"Mar 28 2017 10:31:22:183PM",5,4,5,5,5,"Mar 28 2017 10:31:22:183PM",trilogy_admin,"Mar 28 2017 10:31:22:183PM",trilogy_admin,5,5
42,2,133,3,2,4,5,"Mar 28 2017 10:33:06:550PM",5,1,4,4,3,"Mar 28 2017 10:33:06:550PM",trilogy_admin,"Mar 28 2017 10:33:06:550PM",trilogy_admin,3,5
43,2,80,3,2,5,5,"Mar 28 2017 10:46:25:737PM",2,8,5,5,5,"Mar 28 2017 10:46:25:737PM",trilogy_admin,"Mar 28 2017 10:46:25:737PM",trilogy_admin,5,5
44,2,86,3,2,2,4,"Mar 28 2017 10:50:03:360PM",1,10,1,3,1,"Mar 28 2017 10:50:03:360PM",trilogy_admin,"Mar 28 2017 10:50:03:360PM",trilogy_admin,3,5
45,2,83,3,2,5,5,"Mar 28 2017 10:52:45:780PM",3,10,5,5,3,"Mar 28 2017 10:52:45:780PM",trilogy_admin,"Mar 28 2017 10:52:45:780PM",trilogy_admin,5,5
46,2,75,3,2,5,5,"Mar 28 2017 11:00:37:793PM",5,4,5,5,4,"Mar 28 2017 11:00:37:793PM",trilogy_admin,"Mar 28 2017 11:00:37:793PM",trilogy_admin,5,5
47,2,68,3,2,4,4,"Mar 29 2017 01:33:38:403AM",3,4,2,4,3,"Mar 29 2017 01:33:38:403AM",trilogy_admin,"Mar 29 2017 01:33:38:403AM",trilogy_admin,4,4
48,2,136,2,2,2,3,"Mar 29 2017 09:54:26:080PM",5,10,3,3,1,"Mar 29 2017 09:54:26:080PM",trilogy_admin,"Mar 29 2017 09:54:26:080PM",trilogy_admin,3,5
49,2,128,2,2,5,5,"Mar 29 2017 10:26:44:643PM",5,5,5,5,5,"Mar 29 2017 10:26:44:643PM",trilogy_admin,"Mar 29 2017 10:26:44:643PM",trilogy_admin,5,5
50,2,122,2,2,5,5,"Mar 30 2017 10:27:34:233PM",5,8,5,5,5,"Mar 30 2017 10:27:34:233PM",trilogy_admin,"Mar 30 2017 10:27:34:233PM",trilogy_admin,5,5
51,2,122,3,2,5,5,"Apr  1 2017 02:14:10:890PM",5,10,5,5,5,"Apr  1 2017 02:14:10:890PM",trilogy_admin,"Apr  1 2017 02:14:10:890PM",trilogy_admin,5,5
