UniversityID,UniversityName,ClassCode,WeekNumber,WeekPace,AcademicSupport,ConceptMastering,instructorEngagement,instructorClarity,instructorknowledgeable
29,NULL,Class 10,2,3,4,4,5,5,5
29,NULL,Class 10,2,5,3,3,5,5,5
29,NULL,Class 10,2,3,3,1,5,4,5
29,NULL,Class 10,2,5,5,4,5,5,5
29,NULL,Class 10,2,4,5,4,5,5,5
29,NULL,Class 10,2,5,5,5,5,5,5
29,NULL,Class 10,2,3,2,2,3,2,5
29,NULL,Class 10,2,5,5,4,5,5,5
29,NULL,Class 10,2,5,5,4,5,5,5
29,NULL,Class 10,2,4,5,4,5,4,5
29,NULL,Class 10,2,4,4,5,4,4,5
29,NULL,Class 10,2,2,5,3,5,5,5
29,NULL,Class 10,2,4,4,4,5,5,5
29,NULL,Class 10,2,3,5,4,5,5,5
29,NULL,Class 10,2,3,4,2,5,4,5
29,NULL,Class 10,2,5,5,3,5,3,5
29,NULL,Class 10,2,4,5,3,5,5,5
29,NULL,Class 10,2,4,4,3,4,5,5
29,NULL,Class 10,2,2,2,2,3,1,2
29,NULL,Class 10,2,5,5,4,4,4,5
29,NULL,Class 10,2,4,2,2,2,2,2
29,NULL,Class 10,2,4,5,3,5,4,5
29,NULL,Class 10,2,4,4,4,4,4,4
29,NULL,Class 10,2,3,3,4,3,3,2
29,NULL,Class 10,2,4,4,2,5,3,4
29,NULL,Class 10,2,5,4,2,3,4,5
29,NULL,Class 10,2,5,5,5,5,5,5
29,NULL,Class 10,2,5,3,3,5,4,5
29,NULL,Class 10,3,5,5,4,5,5,5
29,NULL,Class 10,3,4,4,3,4,3,4
29,NULL,Class 10,3,3,3,3,5,5,5
29,NULL,Class 10,3,3,5,4,5,5,5
29,NULL,Class 10,3,5,3,2,5,5,5
29,NULL,Class 10,3,5,5,3,5,5,5
29,NULL,Class 10,3,4,3,3,4,3,5
29,NULL,Class 10,3,5,4,3,5,5,5
29,NULL,Class 10,3,5,4,2,5,5,5
29,NULL,Class 10,3,4,4,3,5,5,5
29,NULL,Class 10,3,5,5,5,5,5,5
29,NULL,Class 10,3,4,2,2,4,4,5
29,NULL,Class 10,3,5,5,2,3,5,5
29,NULL,Class 10,3,5,4,4,5,4,5
29,NULL,Class 10,3,3,5,3,4,3,5
29,NULL,Class 10,3,4,4,3,5,5,5
29,NULL,Class 10,3,5,5,4,5,5,5
29,NULL,Class 10,3,4,5,2,5,5,5
29,NULL,Class 10,3,4,4,3,4,4,5
29,NULL,Class 10,3,4,5,3,4,4,5
29,NULL,Class 10,3,3,2,1,5,5,5
29,NULL,Class 10,3,4,5,3,5,5,5
29,NULL,Class 10,3,5,5,4,5,5,5
29,NULL,Class 10,3,3,3,2,2,2,2
29,NULL,Class 10,3,5,5,4,5,4,5
29,NULL,Class 10,3,5,5,5,5,5,5
29,NULL,Class 10,3,5,5,5,5,5,5
29,NULL,Class 10,3,2,3,3,4,5,4
29,NULL,Class 10,4,4,4,4,5,5,5
29,NULL,Class 10,4,2,4,2,5,5,5
29,NULL,Class 10,4,5,3,2,5,4,5
29,NULL,Class 10,4,5,4,3,5,4,5
29,NULL,Class 10,4,5,5,5,5,5,5
29,NULL,Class 10,4,4,5,4,5,5,5
29,NULL,Class 10,4,3,3,3,3,3,5
29,NULL,Class 10,4,4,4,4,4,4,4
29,NULL,Class 10,4,5,5,3,5,5,5
29,NULL,Class 10,4,4,5,4,5,5,5
29,NULL,Class 10,4,4,4,2,5,5,5
29,NULL,Class 10,4,4,3,2,3,4,5
29,NULL,Class 10,4,4,5,4,4,4,5
29,NULL,Class 10,4,5,5,5,4,5,5
29,NULL,Class 10,4,4,3,3,5,5,5
29,NULL,Class 10,4,3,5,4,5,5,5
29,NULL,Class 10,4,5,5,5,5,5,5
29,NULL,Class 10,4,1,5,1,5,5,5
29,NULL,Class 10,4,3,3,3,3,3,3
29,NULL,Class 10,4,5,5,2,5,5,5
29,NULL,Class 10,4,5,2,1,4,3,5
29,NULL,Class 10,4,5,4,3,3,3,4
29,NULL,Class 10,4,5,5,5,5,5,5
29,NULL,Class 10,4,4,5,4,5,5,5
29,NULL,Class 10,4,5,5,5,5,5,5
29,NULL,Class 10,4,1,1,1,1,1,1
29,NULL,Class 10,4,3,4,4,4,3,5
29,NULL,Class 10,4,4,5,4,5,5,5
29,NULL,Class 10,5,5,5,4,5,5,5
29,NULL,Class 10,5,5,5,5,5,5,5
29,NULL,Class 10,5,5,3,3,3,3,4
29,NULL,Class 10,5,5,4,3,4,4,5
29,NULL,Class 10,5,3,2,2,3,3,5
29,NULL,Class 10,5,5,4,2,5,5,5
29,NULL,Class 10,5,5,5,3,5,5,5
29,NULL,Class 10,5,4,5,3,5,5,5
29,NULL,Class 10,5,4,5,4,5,4,5
29,NULL,Class 10,5,5,5,5,5,5,5
29,NULL,Class 10,5,3,2,1,5,5,5
29,NULL,Class 10,5,5,5,5,5,5,5
29,NULL,Class 10,5,2,2,1,2,3,5
29,NULL,Class 10,5,3,4,3,5,5,5
29,NULL,Class 10,5,5,5,4,5,5,5
29,NULL,Class 10,5,5,5,2,3,5,5
29,NULL,Class 10,5,3,5,4,5,5,5
29,NULL,Class 10,5,3,3,2,5,4,5
29,NULL,Class 10,5,5,5,5,5,5,5
29,NULL,Class 10,5,2,4,2,4,4,5
29,NULL,Class 10,5,4,4,4,4,4,4
29,NULL,Class 10,5,3,4,3,3,5,5
29,NULL,Class 10,5,4,3,3,3,3,5
29,NULL,Class 10,5,4,4,4,4,4,4
29,NULL,Class 10,5,5,5,5,5,5,5
29,NULL,Class 10,5,4,3,3,5,5,5
29,NULL,Class 10,5,1,1,1,1,1,1
29,NULL,Class 10,6,4,4,4,5,5,5
29,NULL,Class 10,6,3,5,5,5,5,5
29,NULL,Class 10,6,5,5,5,5,5,5
29,NULL,Class 10,6,5,5,3,5,5,5
29,NULL,Class 10,6,4,5,4,5,5,5
29,NULL,Class 10,6,2,4,3,3,3,4
29,NULL,Class 10,6,2,2,1,2,2,5
29,NULL,Class 10,6,3,5,3,4,5,5
29,NULL,Class 10,6,4,4,4,4,4,4
29,NULL,Class 10,6,5,5,4,5,5,5
29,NULL,Class 10,6,3,2,3,3,2,4
29,NULL,Class 10,6,4,4,3,5,4,5
29,NULL,Class 10,6,5,5,3,5,5,5
29,NULL,Class 10,6,5,5,4,5,5,5
29,NULL,Class 10,6,5,5,3,5,5,5
29,NULL,Class 10,6,5,5,5,5,5,5
29,NULL,Class 10,6,2,2,2,2,2,2
29,NULL,Class 10,6,1,4,2,4,4,5
29,NULL,Class 10,6,5,5,2,5,5,5
29,NULL,Class 10,6,5,4,4,5,5,5
29,NULL,Class 10,6,4,4,3,4,4,5
29,NULL,Class 10,6,4,5,3,4,4,3
29,NULL,Class 10,6,4,4,4,4,4,4
29,NULL,Class 10,6,5,5,5,5,5,5
29,NULL,Class 10,6,1,1,1,1,1,1
29,NULL,Class 10,6,5,5,5,5,5,5
29,NULL,Class 10,6,3,5,1,5,5,5
29,NULL,Class 10,7,4,4,4,4,3,5
29,NULL,Class 10,7,4,3,3,3,3,4
29,NULL,Class 10,7,5,5,4,5,5,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,5,5,4,5,5,5
29,NULL,Class 10,7,5,5,2,4,5,5
29,NULL,Class 10,7,3,3,3,5,3,5
29,NULL,Class 10,7,4,4,3,5,5,5
29,NULL,Class 10,7,4,5,3,5,5,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,3,1,1,5,2,5
29,NULL,Class 10,7,4,3,4,5,5,5
29,NULL,Class 10,7,4,4,4,4,4,4
29,NULL,Class 10,7,1,2,1,3,3,5
29,NULL,Class 10,7,5,3,5,3,4,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,3,4,3,5,3,5
29,NULL,Class 10,7,5,3,3,5,4,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,3,4,3,4,3,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,5,5,5,5,5,5
29,NULL,Class 10,7,4,4,3,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,5,4,3,5,5,5
29,NULL,Class 10,8,4,4,4,5,4,5
29,NULL,Class 10,8,3,3,3,4,2,2
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,4,4,5,4,4,4
29,NULL,Class 10,8,3,4,3,3,3,4
29,NULL,Class 10,8,3,5,3,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,5,4,2,4,4,4
29,NULL,Class 10,8,3,2,2,5,5,5
29,NULL,Class 10,8,5,4,5,5,5,5
29,NULL,Class 10,8,4,5,5,5,4,5
29,NULL,Class 10,8,4,4,2,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,3,3,3,3,4,5
29,NULL,Class 10,8,5,5,3,5,5,5
29,NULL,Class 10,8,5,5,5,5,5,5
29,NULL,Class 10,8,4,5,3,3,4,5
29,NULL,Class 10,8,4,5,3,5,4,5
29,NULL,Class 10,8,5,4,3,5,5,5
29,NULL,Class 10,8,4,4,5,5,5,5
29,NULL,Class 10,9,5,5,5,5,5,5
29,NULL,Class 10,9,2,2,2,2,2,2
29,NULL,Class 10,9,3,4,4,4,5,4
29,NULL,Class 10,9,5,5,4,5,5,5
29,NULL,Class 10,9,5,5,5,5,5,5
29,NULL,Class 10,9,5,5,5,5,4,2
29,NULL,Class 10,9,4,4,3,5,5,5
29,NULL,Class 10,9,3,5,3,5,5,5
29,NULL,Class 10,9,5,5,4,5,5,5
29,NULL,Class 10,9,5,4,4,4,4,5
29,NULL,Class 10,9,4,4,4,4,4,4
29,NULL,Class 10,9,4,5,4,4,5,5
29,NULL,Class 10,9,5,4,3,5,4,5
29,NULL,Class 10,9,3,5,4,5,5,5
29,NULL,Class 10,9,3,3,3,3,4,5
29,NULL,Class 10,9,5,5,5,5,5,5
29,NULL,Class 10,9,4,2,2,3,3,5
29,NULL,Class 10,9,3,3,3,3,3,2
29,NULL,Class 10,9,5,5,3,5,4,5
29,NULL,Class 10,9,4,5,4,5,5,5
29,NULL,Class 10,9,5,5,5,5,5,5
29,NULL,Class 10,9,5,3,5,5,5,5
29,NULL,Class 10,9,3,3,3,3,4,5
29,NULL,Class 10,9,4,5,5,5,5,5
29,NULL,Class 10,9,5,5,4,5,5,5
30,NULL,Class 11,2,4,5,4,5,4,5
30,NULL,Class 11,2,3,4,2,3,4,5
30,NULL,Class 11,2,3,5,4,5,5,5
30,NULL,Class 11,2,3,3,3,2,3,3
30,NULL,Class 11,2,4,5,5,4,4,5
30,NULL,Class 11,2,5,5,4,5,5,5
30,NULL,Class 11,2,5,5,5,5,4,5
30,NULL,Class 11,2,3,4,4,5,5,5
30,NULL,Class 11,2,4,5,4,5,5,5
30,NULL,Class 11,2,3,4,4,5,3,5
30,NULL,Class 11,2,3,5,3,5,5,5
30,NULL,Class 11,2,5,4,3,3,3,5
30,NULL,Class 11,2,5,5,4,5,5,5
30,NULL,Class 11,2,5,5,5,5,4,5
30,NULL,Class 11,2,3,4,4,4,2,4
30,NULL,Class 11,2,4,4,4,5,5,5
30,NULL,Class 11,2,2,2,2,4,2,5
30,NULL,Class 11,2,1,5,2,3,5,4
30,NULL,Class 11,2,3,3,4,4,3,4
30,NULL,Class 11,2,5,5,3,5,5,5
30,NULL,Class 11,2,2,5,2,3,4,5
30,NULL,Class 11,2,3,5,3,4,3,5
30,NULL,Class 11,2,4,4,3,4,4,4
30,NULL,Class 11,2,2,5,4,5,4,5
30,NULL,Class 11,2,5,5,4,5,5,5
30,NULL,Class 11,2,4,4,4,5,4,5
30,NULL,Class 11,3,4,4,4,5,5,5
30,NULL,Class 11,3,3,5,3,5,5,5
30,NULL,Class 11,3,3,5,4,5,5,5
30,NULL,Class 11,3,3,5,4,5,5,5
30,NULL,Class 11,3,4,5,3,3,3,5
30,NULL,Class 11,3,5,5,4,4,4,4
30,NULL,Class 11,3,4,4,3,4,4,5
30,NULL,Class 11,3,5,4,5,5,5,5
30,NULL,Class 11,3,2,1,3,3,3,4
30,NULL,Class 11,3,5,5,4,5,5,5
30,NULL,Class 11,3,3,5,5,5,3,4
30,NULL,Class 11,3,5,5,4,4,4,5
30,NULL,Class 11,3,3,3,3,3,3,4
30,NULL,Class 11,3,3,4,3,4,4,5
30,NULL,Class 11,3,3,5,4,4,4,5
30,NULL,Class 11,3,4,5,3,3,3,5
30,NULL,Class 11,3,2,5,2,3,3,5
30,NULL,Class 11,3,4,5,3,5,5,5
30,NULL,Class 11,3,4,5,4,5,4,5
30,NULL,Class 11,3,4,3,4,3,3,3
30,NULL,Class 11,3,5,5,5,5,5,5
30,NULL,Class 11,3,5,4,3,4,3,4
30,NULL,Class 11,3,5,5,3,5,5,5
30,NULL,Class 11,3,3,4,3,4,1,5
30,NULL,Class 11,3,5,5,5,5,5,5
30,NULL,Class 11,3,3,4,3,3,4,4
30,NULL,Class 11,4,3,4,3,4,4,4
30,NULL,Class 11,4,4,4,3,4,4,5
30,NULL,Class 11,4,5,5,5,5,4,4
30,NULL,Class 11,4,5,5,5,5,5,5
30,NULL,Class 11,4,3,5,5,5,4,5
30,NULL,Class 11,4,3,3,1,3,2,5
30,NULL,Class 11,4,5,5,5,5,5,5
30,NULL,Class 11,4,1,2,3,3,2,2
30,NULL,Class 11,4,1,1,1,1,1,1
30,NULL,Class 11,4,3,5,1,4,4,5
30,NULL,Class 11,4,2,4,2,5,3,5
30,NULL,Class 11,4,4,4,3,4,4,5
30,NULL,Class 11,4,4,4,2,4,4,5
30,NULL,Class 11,4,4,4,2,4,4,5
30,NULL,Class 11,4,5,5,2,4,4,5
30,NULL,Class 11,4,3,5,3,5,4,5
30,NULL,Class 11,4,4,5,4,5,4,4
30,NULL,Class 11,4,4,4,4,4,4,4
30,NULL,Class 11,4,4,4,3,4,4,4
30,NULL,Class 11,4,5,5,5,5,5,5
30,NULL,Class 11,4,3,5,3,4,3,5
30,NULL,Class 11,4,1,3,3,3,3,5
30,NULL,Class 11,4,4,5,5,5,5,5
30,NULL,Class 11,4,5,5,5,5,5,5
30,NULL,Class 11,4,4,3,3,5,5,5
30,NULL,Class 11,4,4,5,5,5,5,5
30,NULL,Class 11,5,4,5,4,5,5,5
30,NULL,Class 11,5,5,5,4,5,4,5
30,NULL,Class 11,5,4,4,4,5,5,5
30,NULL,Class 11,5,5,5,3,5,5,5
30,NULL,Class 11,5,4,3,1,4,4,5
30,NULL,Class 11,5,5,5,5,5,5,5
30,NULL,Class 11,5,4,4,2,5,5,5
30,NULL,Class 11,5,4,4,3,4,3,5
30,NULL,Class 11,5,5,5,4,5,5,5
30,NULL,Class 11,5,3,5,2,5,3,4
30,NULL,Class 11,5,3,3,2,3,4,5
30,NULL,Class 11,5,5,5,1,5,5,5
30,NULL,Class 11,5,4,4,3,4,4,4
30,NULL,Class 11,5,2,3,2,2,2,4
30,NULL,Class 11,5,3,4,2,4,4,5
30,NULL,Class 11,5,3,4,2,5,5,5
30,NULL,Class 11,5,4,5,3,5,5,5
30,NULL,Class 11,5,3,5,3,5,4,5
30,NULL,Class 11,5,4,3,3,4,4,4
30,NULL,Class 11,5,5,5,5,5,5,5
30,NULL,Class 11,5,4,5,3,5,5,5
30,NULL,Class 11,5,2,2,1,5,5,5
30,NULL,Class 11,5,5,4,5,4,5,5
30,NULL,Class 11,5,3,5,4,5,5,5
30,NULL,Class 11,5,2,4,3,5,5,5
30,NULL,Class 11,5,3,2,3,4,3,5
30,NULL,Class 11,6,5,5,4,5,5,5
30,NULL,Class 11,6,3,4,4,4,4,5
30,NULL,Class 11,6,4,4,3,5,5,5
30,NULL,Class 11,6,5,5,4,5,5,5
30,NULL,Class 11,6,5,5,5,5,5,5
30,NULL,Class 11,6,1,1,1,1,1,1
30,NULL,Class 11,6,3,4,2,5,5,5
